Hour,theta_start,K_cm_per_h,delta_theta,theta_end,cumulative_drainage_cm
96,0.20501014721209612,0.506312036704519,-0.0005063120367045191,0.2045038351753916,22.54961648246083
97,0.2045038351753916,0.500141672774184,-0.000500141672774184,0.20400369350261743,22.59963064973825
98,0.20400369350261743,0.4941031425360936,-0.0004941031425360937,0.20350959036008134,22.649040963991858
99,0.20350959036008134,0.4881924218849397,-0.0004881924218849398,0.2030213979381964,22.69786020618035
100,0.2030213979381964,0.48240564609362974,-0.00048240564609362976,0.20253899229210276,22.746100770789713
101,0.20253899229210276,0.4767391020698816,-0.00047673910206988163,0.20206225319003288,22.7937746809967
102,0.20206225319003288,0.4711892210576595,-0.00047118922105765954,0.20159106396897522,22.84089360310247
103,0.20159106396897522,0.46575257175401574,-0.00046575257175401576,0.2011253113972212,22.88746886027787
104,0.2011253113972212,0.46042585381408263,-0.0004604258538140826,0.2006648855434071,22.933511445659278
105,0.2006648855434071,0.45520589171901704,-0.00045520589171901707,0.2002096796516881,22.979032034831178
106,0.2002096796516881,0.45008962898350174,-0.00045008962898350176,0.1997595900227046,23.02404099772953
107,0.1997595900227046,0.445074122681159,-0.000445074122681159,0.19931451590002344,23.068548409997643
108,0.19931451590002344,0.440156538267743,-0.000440156538267743,0.1988743593617557,23.11256406382442
109,0.1988743593617557,0.43533414468347603,-0.00043533414468347603,0.19843902521707224,23.156097478292764
110,0.19843902521707224,0.43060430971715247,-0.0004306043097171525,0.1980084209073551,23.19915790926448
111,0.1980084209073551,0.42596449561589944,-0.0004259644956158995,0.1975824564117392,23.241754358826068
112,0.1975824564117392,0.4214122549255921,-0.0004214122549255921,0.1971610441568136,23.28389558431863
113,0.1971610441568136,0.4169452265479482,-0.0004169452265479482,0.19674409893026565,23.325590106973422
114,0.19674409893026565,0.4125611320012919,-0.00041256113200129193,0.19633153779826434,23.366846220173553
115,0.19633153779826434,0.4082577718728664,-0.0004082577718728664,0.19592328002639148,23.40767199736084
116,0.19592328002639148,0.4040330224513736,-0.00040403302245137364,0.1955192470039401,23.44807529960598
117,0.1955192470039401,0.3998848325291956,-0.00039988483252919563,0.1951193621714109,23.488063782858898
118,0.1951193621714109,0.39581122036443,-0.00039581122036443003,0.1947235509510465,23.52764490489534
119,0.1947235509510465,0.39181027079354575,-0.00039181027079354577,0.19433174068025294,23.566825931974694
120,0.19433174068025294,0.3878801324860265,-0.0003878801324860265,0.1939438605477669,23.605613945223297
121,0.1939438605477669,0.3840190153329787,-0.00038401901533297874,0.19355984153243394,23.644015846756595
122,0.19355984153243394,0.3802251879621435,-0.0003802251879621435,0.1931796163444718,23.68203836555281
123,0.1931796163444718,0.3764969753722661,-0.0003764969753722661,0.19280311936909955,23.719688063090036
124,0.19280311936909955,0.3728327566802176,-0.0003728327566802176,0.19243028661241934,23.756971338758056
125,0.19243028661241934,0.36923096297465857,-0.0003692309629746586,0.19206105564944467,23.793894435055524
126,0.19206105564944467,0.3656900752704475,-0.0003656900752704475,0.19169536557417421,23.83046344258257
127,0.19169536557417421,0.36220862255833236,-0.00036220862255833235,0.19133315695161587,23.866684304838405
128,0.19133315695161587,0.3587851799448053,-0.0003587851799448053,0.19097437177167106,23.902562822832884
129,0.19097437177167106,0.35541836687732126,-0.0003554183668773213,0.19061895340479373,23.938104659520615
130,0.19061895340479373,0.35210684545035525,-0.0003521068454503553,0.19026684655934337,23.97331534406565
131,0.19026684655934337,0.34884931878805425,-0.00034884931878805426,0.1899179972405553,24.008200275944457
132,0.1899179972405553,0.3456445294994876,-0.0003456445294994876,0.18957235271105582,24.042764728894404
133,0.18957235271105582,0.3424912582027356,-0.0003424912582027356,0.1892298614528531,24.07701385471468
134,0.1892298614528531,0.33938832211428704,-0.00033938832211428705,0.1888904731307388,24.110952686926108
135,0.1888904731307388,0.3363345737003942,-0.0003363345737003942,0.18855413855703843,24.14458614429615
136,0.18855413855703843,0.333328899387264,-0.000333328899387264,0.18822080965765117,24.177919034234876
